José Carlos Bregieiro Ribeiro;Francisco Fernández de Vega;12
Francisco Fernández de Vega;Mário Alberto Zenha Rela;12
Mário Alberto Zenha Rela;Francisco Fernández de Vega;12
Francisco Mónaco;Douglas Rodrigues;1
Douglas Rodrigues;Francisco Mónaco;1
Francisco Mónaco;Júlio Estrella;1
Júlio Estrella;Francisco Mónaco;1
Francisco Mónaco;Kalinka Branco;1
Kalinka Branco;Francisco Mónaco;1
Francisco Mónaco;Marco Vieira;1
Marco Vieira;Francisco Mónaco;1
Francisco Mónaco;Nuno Antunes;1
Nuno Antunes;Francisco Mónaco;1
Franck Capello;Derrik Kondo;1
Derrik Kondo;Franck Capello;1
Franck Capello;Filipe Araujo;1
Filipe Araujo;Franck Capello;1
Franck Capello;Gilles Fedak;1
Gilles Fedak;Franck Capello;1
Franck Capello;Luís Silva;1
Luís Silva;Franck Capello;1
Franck Capello;Patricio Domingues;1
Patricio Domingues;Franck Capello;1
Franck Capello;Paul Malecot;1
Paul Malecot;Franck Capello;1
G. Pintér;A. Pataricza;2
A. Pataricza;G. Pintér;2
G. Pintér;Henrique Madeira;2
Henrique Madeira;G. Pintér;2
G. Pintér;I. Majzik;2
I. Majzik;G. Pintér;2
G. Pintér;Marco Vieira;2
Marco Vieira;G. Pintér;2
Gabriel Caillat;Etienne Urbah;1
Etienne Urbah;Gabriel Caillat;1
Gabriel Caillat;Filipe Araujo;1
Filipe Araujo;Gabriel Caillat;1
Gabriel Caillat;Gilles Fedak;1
Gilles Fedak;Gabriel Caillat;1
Gabriel Caillat;Haiwu He;1
Haiwu He;Gabriel Caillat;1
Gabriel Caillat;Oleg Lodygensky;1
Oleg Lodygensky;Gabriel Caillat;1
Gabriel Caillat;Péter Kacsuk;1
Péter Kacsuk;Gabriel Caillat;1
Gabriel Caillat;Zoltán Balaton;1
Zoltán Balaton;Gabriel Caillat;1
Gabriel Caillat;Zoltán Farkas;1
Zoltán Farkas;Gabriel Caillat;1
Gabriella Carrozza;Aniello Napolitano;3
Aniello Napolitano;Gabriella Carrozza;3
Gabriella Carrozza;Joao Duraes;1
Joao Duraes;Gabriella Carrozza;1
Gabriella Carrozza;Marco Vieira;2
Marco Vieira;Gabriella Carrozza;2
Gabriella Carrozza;Nuno Antunes;1
Nuno Antunes;Gabriella Carrozza;1
Gabriella Carrozza;Nuno Laranjeiro;2
Nuno Laranjeiro;Gabriella Carrozza;2
Gheorghe Cosmin Silaghi;Alvaro E. Arenas;4
Alvaro E. Arenas;Gheorghe Cosmin Silaghi;4
Gheorghe Cosmin Silaghi;Derrik Kondo;1
Derrik Kondo;Gheorghe Cosmin Silaghi;1
Gheorghe Cosmin Silaghi;Filipe Araujo;3
Filipe Araujo;Gheorghe Cosmin Silaghi;3
Gheorghe Cosmin Silaghi;Jorge Farinha;1
